Station,Nb_Fraction
100_DCM,5
100_SUR,6
102_DCM,5
102_SUR,6
106_DCM,4
106_SUR,4
109_DCM,5
109_SUR,6
110_DCM,4
110_SUR,5
111_DCM,6
111_SUR,6
112_DCM,4
112_SUR,5
113_SUR,3
114_SUR,2
115_SUR,2
116_SUR,2
117_SUR,2
118_SUR,2
11_SUR,3
122_DCM,6
122_SUR,6
123_SUR,6
124_SUR,6
125_SUR,6
128_DCM,5
128_SUR,5
129_DCM,4
129_SUR,4
130_SUR,3
131_DCM,4
131_SUR,4
132_DCM,5
132_SUR,5
133_DCM,1
133_SUR,1
135_DCM,4
135_SUR,4
136_SUR,4
137_DCM,6
137_SUR,6
138_DCM,6
138_SUR,5
139_SUR,4
140_SUR,1
141_SUR,1
142_DCM,4
142_SUR,4
143_DCM,4
143_SUR,3
144_SUR,2
145_SUR,5
146_SUR,5
147_SUR,4
148_SUR,5
149_SUR,5
14_SUR,1
150_DCM,5
150_SUR,5
151_DCM,4
151_SUR,5
152_SUR,5
16_DCM,1
16_SUR,1
18_DCM,6
18_SUR,6
20_SUR,3
22_DCM,4
22_SUR,5
23_DCM,6
23_SUR,5
24_SUR,2
25_DCM,5
25_SUR,6
26_SUR,2
30_DCM,4
30_SUR,4
31_SUR,4
32_DCM,5
32_SUR,5
33_SUR,4
34_DCM,6
34_SUR,5
36_DCM,5
36_SUR,5
38_DCM,5
38_SUR,3
39_DCM,5
39_SUR,3
41_DCM,5
41_SUR,5
42_DCM,5
42_SUR,5
43_SUR,4
45_SUR,6
46_SUR,5
47_SUR,2
48_SUR,2
4_DCM,2
4_SUR,4
51_DCM,3
51_SUR,4
52_DCM,5
52_SUR,5
56_SUR,2
57_SUR,1
58_DCM,5
58_SUR,4
5_DCM,2
5_SUR,1
62_SUR,2
64_DCM,5
64_SUR,6
65_DCM,3
65_SUR,4
66_DCM,3
66_SUR,5
67_SUR,6
68_DCM,4
68_SUR,5
6_DCM,2
6_SUR,2
70_SUR,6
72_DCM,6
72_SUR,5
76_DCM,6
76_SUR,6
78_DCM,5
78_SUR,6
7_DCM,5
7_SUR,4
80_DCM,4
80_SUR,3
81_DCM,4
81_SUR,4
82_DCM,3
82_SUR,5
83_SUR,2
84_SUR,5
85_DCM,5
85_SUR,4
86_DCM,1
86_SUR,4
89_SUR,3
92_SUR,4
93_DCM,3
93_SUR,5
94_SUR,1
95_SUR,3
96_DCM,3
96_SUR,5
97_DCM,2
97_SUR,3
98_DCM,3
98_SUR,5
99_SUR,1
9_DCM,3
9_SUR,3
